period_number,outcome
248,Big
247,Small
246,Big
245,Small
244,Small
243,Big
242,Small
241,Big
240,Big
239,Big
238,Small
237,Big
236,Big
235,Small
234,Small
233,Big
232,Big
231,Small
230,Small
229,Big
249,Small
248,Big
247,Small
246,Big
245,Small
244,Small
243,Big
242,Small
241,Big
240,Big
249,Small
248,Big
247,Small
246,Big
245,Small
244,Small
243,Big
242,Small
241,Big
240,Big
239,Big
238,Small
237,Big
236,Big
235,Small
234,Small
233,Big
232,Big
231,Small
230,Small
229,Big
228,Small
227,Small
226,Big
225,Big
224,Big
223,Small
222,Big
221,Big
220,Small
219,Big
218,Small
217,Big
216,Small
215,Big
214,Small
213,Small
212,Small
211,Big
210,Big
209,Big
208,Big
207,Small
206,Small
205,Small
204,Small
203,Small
202,Small
201,Small
200,Small
199,Small
198,Big
197,Small
196,Small
195,Big
194,Big
193,Small
192,Small
191,Big
190,Small
189,Big
188,Small
187,Small
186,Big
185,Big
184,Big
183,Big
182,Small
181,Small
180,Big
179,Small
178,Big
177,Small
176,Small
175,Small
174,Small
173,Big
172,Big
171,Small
170,Big
169,Small
168,Small
167,Big
166,Small
165,Small
164,Small
163,Big
162,Big
161,Small
160,Small
159,Small
158,Small
157,Big
156,Big
155,Small
154,Big
153,Big
152,Small
151,Big
150,Big
149,Big
148,Big
147,Small
146,Small
145,Big
144,Big
143,Big
142,Small
141,Big
140,Small
139,Small
138,Big
137,Big
136,Big
135,Big
134,Small
133,Small
132,Big
131,Small
130,Big
129,Small
128,Big
127,Small
126,Small
125,Small
124,Big
123,Big
122,Small
121,Small
120,Small
119,Small
118,Small
117,Big
116,Big
115,Big
114,Small
113,Big
112,Big
111,Small
110,Big
109,Small
108,Small
107,Big
106,Small
105,Small
104,Big
103,Big
102,Small
101,Small
100,Small
099,Small
098,Big
097,Small
096,Small
095,Big
094,Small
093,Big
092,Big
091,Small
090,Small
090,Small
089,Small
088,Big
087,Small
086,Big
085,Big
084,Big
083,Big
082,Small
081,Big
090,Small
089,Small
088,Big
087,Small
086,Big
085,Big
084,Big
083,Big
082,Small
081,Big
070,Big
069,Big
068,Small
067,Small
066,Big
065,Big
064,Small
063,Small
062,Small
061,Small
060,Big
059,Small
058,Big
057,Big
056,Big
055,Big
054,Small
053,Big
052,Small
051,Big
050,Small
049,Big
048,Big
047,Big
046,Big
045,Small
044,Big
043,Small
042,Small
041,Big
040,Big
039,Big
038,Small
037,Big
036,Big
035,Small
034,Small
033,Small
032,Big
031,Small
030,Big
029,Big
028,Big
027,Small
026,Small
025,Small
024,Big
023,Big
022,Big
021,Big
020,Big
019,Big
018,Big
017,Small
016,Small
015,Big
014,Big
013,Big
012,Small
011,Small
010,Big
009,Small
008,Big
007,Small
006,Small
005,Small
004,Small
003,Small
002,Big
001,Small
000,Small
999,Big
998,Small
997,Big
996,Big
995,Big
994,Big
993,Small
992,Small
991,Big
990,Big
989,Big
988,Big
987,Big
986,Small
985,Small
984,Big
983,Big
982,Small
981,Big
980,Big
979,Small
978,Big
977,Big
976,Big
975,Small
974,Small
973,Big
972,Big
971,Big
970,Small
969,Small
968,Small
967,Big
966,Small
965,Big
964,Big
963,Small
962,Small
961,Big
960,Big
959,Big
958,Big
957,Small
956,Small
955,Big
954,Small
953,Big
952,Big
951,Big
950,Big
949,Small
948,Big
947,Small
946,Small
945,Big
944,Big
943,Big
942,Small
941,Big
940,Big
939,Small
938,Big
937,Big
936,Small
935,Big
934,Small
933,Big
932,Small
931,Big
930,Big
929,Big
928,Big
927,Big
926,Small
925,Small
924,Small
923,Big
922,Small
921,Small
920,Big
919,Big
918,Big
917,Big
916,Big
915,Small
914,Big
913,Small
912,Big
911,Small
911,Small
910,Small
909,Small
908,Small
907,Small
906,Big
905,Big
904,Small
903,Big
902,Big
901,Big
900,Small
899,Small
898,Small
897,Big
896,Big
895,Small
894,Small
893,Small
892,Big
891,Big
890,Small
889,Big
888,Small
887,Big
886,Small
885,Small
884,Big
883,Big
882,Big
881,Big
880,Small
879,Big
878,Small
877,Big
876,Small
875,Small
874,Big
873,Small
872,Small
871,Small
870,Big
869,Big
868,Small
867,Big
866,Big
865,Big
864,Small
863,Small
862,Big
861,Small
860,Big
859,Small
858,Small
857,Big
856,Small
855,Small
854,Big
853,Big
852,Small
851,Small
850,Small
849,Big
848,Big
847,Small
846,Small
845,Big
844,Big
843,Big
842,Small
841,Big
840,Small
839,Big
838,Small
837,Small
836,Small
835,Big
834,Big
833,Big
832,Small
831,Big
830,Big
829,Small
828,Big
827,Small
826,Small
825,Small
824,Small
823,Small
822,Small
821,Small
820,Small
819,Small
818,Small
817,Small
816,Small
815,Small
814,Small
813,Small
812,Big
811,Small
810,Small
809,Big
808,Big
807,Big
806,Small
805,Big
804,Small
803,Big
802,Big
801,Big
800,Big
799,Big
798,Small
797,Big
796,Big
795,Big
794,Small
793,Small
792,Small
791,Big
790,Big
789,Big
788,Big
787,Big
786,Small
785,Small
784,Small
783,Small
782,Small
781,Small
780,Small
779,Big
778,Small
777,Big
776,Small
775,Small
774,Small
773,Big
772,Small
771,Big
770,Small
769,Small
768,Big
767,Small
766,Small
765,Small
764,Small
763,Small
762,Big
761,Small
760,Small
759,Small
758,Big
757,Small
756,Small
755,Small
754,Small
753,Big
752,Big
751,Small
750,Small
749,Big
748,Small
747,Big
746,Big
745,Small
744,Small
743,Small
742,Big
742,Big
741,Big
740,Big
739,Small
738,Big
737,Small
736,Big
735,Big
734,Small
733,Small
732,Small
731,Big
730,Big
729,Small
728,Big
727,Small
726,Small
725,Big
724,Small
723,Small
722,Small
721,Big
720,Big
719,Small
718,Big
717,Small
716,Small
715,Big
714,Small
713,Big
712,Small
711,Big
710,Small
709,Small
708,Small
707,Big
706,Small
705,Small
704,Big
703,Small
702,Big
701,Small
700,Big
699,Small
698,Small
697,Small
696,Small
695,Small
694,Big
693,Small
692,Big
691,Big
690,Big
689,Big
688,Small
687,Small
686,Small
685,Big
684,Small
683,Big
682,Small
681,Big
680,Small
679,Small
678,Big
677,Small
676,Big
675,Big
674,Big
673,Big
672,Small
671,Big
670,Small
669,Small
668,Big
667,Big
666,Small
665,Small
664,Small
663,Small
662,Big
661,Big
660,Big
659,Small
658,Big
657,Big
656,Big
655,Small
654,Big
653,Big
652,Big
651,Small
650,Small
649,Small
648,Small
647,Big
646,Big
645,Small
644,Big
643,Small
642,Small
641,Small
640,Small
639,Big
638,Small
637,Big
636,Big
635,Small
634,Small
633,Big
632,Big
631,Small
630,Small
629,Big
628,Big
627,Big
626,Big
625,Big
624,Small
623,Small
622,Small
621,Small
620,Small
619,Big
618,Big
617,Big
616,Small
615,Small
614,Small
613,Small
612,Small
611,Small
610,Small
609,Big
608,Big
607,Big
606,Small
605,Small
604,Big
603,Big
602,Big
601,Big
600,Small
599,Small
598,Small
597,Big
596,Big
595,Big
594,Small
593,Big
592,Big
591,Small
590,Big
589,Big
588,Small
587,Big
586,Big
585,Small
584,Big
583,Small
582,Small
581,Big
580,Big
579,Small
578,Small
577,Big
576,Small
575,Big
574,Small
573,Big
572,Small
571,Big
570,Big
569,Big
568,Big
567,Big
566,Small
565,Small
564,Big
563,Small
563,Small
562,Small
561,Big
560,Small
559,Big
558,Small
557,Big
556,Small
555,Big
554,Small
553,Small
552,Small
551,Small
550,Big
549,Small
548,Small
547,Big
546,Small
545,Big
544,Big
543,Big
542,Small
541,Small
540,Small
539,Big
538,Small
537,Small
536,Big
535,Small
534,Big
533,Big
532,Small
531,Small
530,Big
529,Small
528,Small
527,Big
526,Small
525,Big
524,Small
523,Small
522,Big
521,Small
520,Small
519,Big
518,Big
517,Small
516,Big
515,Big
514,Big
513,Small
512,Big
511,Big
510,Small
509,Big
508,Big
507,Small
506,Small
505,Small
504,Big
503,Small
502,Small
501,Small
500,Small
499,Small
498,Small
497,Big
496,Small
495,Big
494,Big
493,Small
492,Big
491,Big
490,Big
489,Big
488,Big
487,Small
486,Big
485,Big
484,Small
483,Small
482,Big
481,Big
480,Big
479,Big
478,Small
477,Small
476,Big
475,Small
474,Small
473,Big
472,Big
471,Big
470,Small
469,Small
468,Big
467,Big
466,Big
465,Big
464,Big
463,Small
462,Big
461,Big
460,Big
459,Big
458,Big
457,Small
456,Small
455,Big
454,Small
453,Big
452,Big
451,Small
450,Small
449,Small
448,Big
447,Small
446,Small
445,Big
444,Big
443,Big
442,Big
441,Small
440,Small
439,Small
438,Small
437,Small
436,Small
435,Small
434,Small
433,Small
432,Big
431,Big
430,Small
429,Small
428,Big
427,Small
426,Big
425,Big
424,Small
423,Small
422,Small
421,Big
420,Big
419,Big
418,Small
417,Big
416,Big
415,Big
414,Big
413,Big
412,Small
411,Big
410,Big
409,Small
408,Big
407,Big
406,Big
405,Big
404,Big
403,Big
402,Small
401,Big
400,Small
399,Small
398,Big
397,Small
396,Small
395,Small
394,Big
394,Big
393,Big
392,Big
391,Big
390,Small
389,Big
388,Big
387,Big
386,Small
385,Small
384,Small
383,Big
382,Small
381,Big
380,Small
379,Big
378,Big
377,Big
376,Small
375,Small
374,Small
373,Small
372,Small
371,Big
370,Small
369,Small
368,Big
367,Small
366,Big
365,Small
364,Big
363,Small
362,Big
361,Big
360,Small
359,Small
358,Small
357,Big
356,Big
355,Big
354,Small
353,Big
352,Big
351,Big
350,Big
349,Small
348,Small
347,Small
346,Big
345,Big
344,Small
343,Small
342,Small
341,Small
340,Small
339,Small
338,Small
337,Small
336,Small
335,Big
334,Small
333,Big
332,Big
331,Big
330,Small
329,Big
328,Small
327,Big
326,Big
325,Big
324,Big
323,Small
322,Big
321,Small
320,Big
319,Small
318,Small
317,Small
316,Big
315,Big
314,Small
313,Small
312,Big
311,Small
310,Big
309,Small
308,Small
307,Small
306,Big
305,Big
304,Big
303,Big
302,Small
301,Small
300,Small
299,Big
298,Big
297,Small
296,Small
295,Small
294,Big
293,Big
292,Big
291,Big
290,Small
289,Small
288,Big
287,Big
286,Big
285,Small
284,Big
283,Big
282,Small
281,Small
280,Big
279,Small
278,Big
277,Big
276,Small
275,Big
274,Big
273,Small
272,Big
271,Small
270,Small
269,Big
268,Big
267,Big
266,Big
265,Big
264,Small
263,Big
262,Big
261,Small
260,Big
259,Small
258,Small
257,Small
256,Small
255,Small
254,Small
253,Big
252,Big
251,Small
250,Small
249,Big
248,Big
247,Small
246,Small
245,Big
244,Small
243,Big
242,Big
241,Small
240,Big
239,Big
238,Big
237,Big
236,Small
235,Small
234,Big
233,Small
